altitude_km,latitude_deg,longitude_deg,local_time_h,day_of_year,f107,f107m,kp_delayed_3h,kp_mean_24h,temperature_k,exospheric_temp_k,density_g_cm3,mean_mol_mass_g,d_h_g_cm3,d_he_g_cm3,d_o_g_cm3,d_n2_g_cm3,d_o2_g_cm3,d_n_g_cm3
130.000000,-45.0000000,30.0000000,2.00000000,30.0000000,130.000000,125.000000,2.00000000,3.00000000,514.179016,1036.71265,0.572400113E-11,26.8556805,0.369730502E-18,0.426655260E-16,0.387259045E-12,0.496118641E-11,0.375512392E-12,0.00000000
130.000000,-45.0000000,30.0000000,12.0000000,180.000000,130.000000,125.000000,2.00000000,3.00000000,518.242065,996.046204,0.620055396E-11,26.1653786,0.330803046E-18,0.210084751E-15,0.626291011E-12,0.528308040E-11,0.290972297E-12,0.00000000
130.000000,-45.0000000,30.0000000,20.0000000,330.000000,130.000000,125.000000,2.00000000,3.00000000,535.395325,1209.11035,0.639465564E-11,27.0004253,0.225444871E-18,0.428190772E-16,0.398329725E-12,0.549693104E-11,0.499351916E-12,0.00000000
130.000000,0.00000000,60.0000000,2.00000000,30.0000000,130.000000,125.000000,2.00000000,3.00000000,492.280090,954.045166,0.666223066E-11,26.4462948,0.523035038E-18,0.760647167E-16,0.626663977E-12,0.540173678E-11,0.633753304E-12,0.00000000
130.000000,0.00000000,60.0000000,12.0000000,180.000000,130.000000,125.000000,2.00000000,3.00000000,542.205750,1117.57263,0.600498210E-11,26.7013931,0.307810243E-18,0.715922570E-16,0.449188050E-12,0.519239859E-11,0.363323358E-12,0.00000000
130.000000,0.00000000,60.0000000,20.0000000,330.000000,130.000000,125.000000,2.00000000,3.00000000,521.555298,1098.98474,0.698591749E-11,26.8770332,0.278988401E-18,0.625731230E-16,0.487554387E-12,0.590372326E-11,0.594576905E-12,0.00000000
130.000000,45.0000000,90.0000000,2.00000000,30.0000000,130.000000,125.000000,2.00000000,3.00000000,485.653809,896.343567,0.619201478E-11,25.9236488,0.588290024E-18,0.206387836E-15,0.737094955E-12,0.498853953E-11,0.466173324E-12,0.00000000
130.000000,45.0000000,90.0000000,12.0000000,180.000000,130.000000,125.000000,2.00000000,3.00000000,552.845703,1199.49207,0.554591355E-11,26.8922539,0.213955668E-18,0.419457796E-16,0.337376611E-12,0.500876250E-11,0.199732212E-12,0.00000000
130.000000,45.0000000,90.0000000,20.0000000,330.000000,130.000000,125.000000,2.00000000,3.00000000,507.244446,996.031189,0.678295311E-11,26.2362251,0.292164018E-18,0.174189440E-15,0.708298708E-12,0.546298033E-11,0.611499620E-12,0.00000000
200.000000,-45.0000000,30.0000000,2.00000000,30.0000000,130.000000,125.000000,2.00000000,3.00000000,929.630859,1036.71265,0.222541671E-12,24.7081165,0.233576056E-18,0.195010725E-16,0.406048181E-13,0.174453103E-12,0.746401452E-14,0.00000000
200.000000,-45.0000000,30.0000000,12.0000000,180.000000,130.000000,125.000000,2.00000000,3.00000000,913.695618,996.046204,0.225249886E-12,22.8979816,0.212116148E-18,0.974473289E-16,0.671051349E-13,0.152157570E-12,0.588951749E-14,0.00000000
200.000000,-45.0000000,30.0000000,20.0000000,330.000000,130.000000,125.000000,2.00000000,3.00000000,1049.27930,1209.11035,0.243072706E-12,24.7575550,0.136885273E-18,0.192773896E-16,0.442962419E-13,0.186654647E-12,0.121023974E-13,0.00000000
200.000000,0.00000000,60.0000000,2.00000000,30.0000000,130.000000,125.000000,2.00000000,3.00000000,851.639832,954.045166,0.235607568E-12,23.5837135,0.336511626E-18,0.345762489E-16,0.602168665E-13,0.165232303E-12,0.101235006E-13,0.00000000
200.000000,0.00000000,60.0000000,12.0000000,180.000000,130.000000,125.000000,2.00000000,3.00000000,1014.35571,1117.57263,0.240350654E-12,24.1797523,0.192074828E-18,0.330995363E-16,0.518621367E-13,0.179394490E-12,0.906074447E-14,0.00000000
200.000000,0.00000000,60.0000000,20.0000000,330.000000,130.000000,125.000000,2.00000000,3.00000000,972.310120,1098.98474,0.258176049E-12,24.4273243,0.173602321E-18,0.284291256E-16,0.522242534E-13,0.193205410E-12,0.127177669E-13,0.00000000
200.000000,45.0000000,90.0000000,2.00000000,30.0000000,130.000000,125.000000,2.00000000,3.00000000,811.711914,896.343567,0.211322631E-12,22.5180035,0.384927335E-18,0.943858673E-16,0.689550142E-13,0.135454053E-12,0.681879098E-14,0.00000000
200.000000,45.0000000,90.0000000,12.0000000,180.000000,130.000000,125.000000,2.00000000,3.00000000,1073.90015,1199.49207,0.229933206E-12,24.8270226,0.131038269E-18,0.192427142E-16,0.399208593E-13,0.184560741E-12,0.543222727E-14,0.00000000
200.000000,45.0000000,90.0000000,20.0000000,330.000000,130.000000,125.000000,2.00000000,3.00000000,897.063416,996.031189,0.232181977E-12,22.7637711,0.186487391E-18,0.797721865E-16,0.724422353E-13,0.148347426E-12,0.113123503E-13,0.00000000
400.000000,-45.0000000,30.0000000,2.00000000,30.0000000,130.000000,125.000000,2.00000000,3.00000000,1035.32764,1036.71265,0.163441995E-14,17.6363716,0.177009659E-18,0.779074022E-17,0.121303662E-14,0.405996815E-15,0.741877943E-17,0.00000000
400.000000,-45.0000000,30.0000000,12.0000000,180.000000,130.000000,125.000000,2.00000000,3.00000000,995.383728,996.046204,0.216675835E-14,16.0874786,0.161724486E-18,0.383508295E-16,0.182732006E-14,0.296168193E-15,0.475758347E-17,0.00000000
400.000000,-45.0000000,30.0000000,20.0000000,330.000000,130.000000,125.000000,2.00000000,3.00000000,1206.02136,1209.11035,0.299284650E-14,18.3806381,0.104728614E-18,0.846269211E-17,0.202159850E-14,0.933707817E-15,0.289728645E-16,0.00000000
400.000000,0.00000000,60.0000000,2.00000000,30.0000000,130.000000,125.000000,2.00000000,3.00000000,952.400208,954.045166,0.156674244E-14,16.6061363,0.249609892E-18,0.127722584E-16,0.132297430E-14,0.225281700E-15,0.546463016E-17,0.00000000
400.000000,0.00000000,60.0000000,12.0000000,180.000000,130.000000,125.000000,2.00000000,3.00000000,1116.64587,1117.57263,0.272737028E-14,17.5997410,0.148975215E-18,0.142123906E-16,0.203228488E-14,0.665407431E-15,0.153164253E-16,0.00000000
400.000000,0.00000000,60.0000000,20.0000000,330.000000,130.000000,125.000000,2.00000000,3.00000000,1097.00964,1098.98474,0.248046356E-14,17.6509304,0.132012572E-18,0.117837776E-16,0.184296222E-14,0.607716229E-15,0.178691940E-16,0.00000000
400.000000,45.0000000,90.0000000,2.00000000,30.0000000,130.000000,125.000000,2.00000000,3.00000000,895.232056,896.343567,0.139404693E-14,15.4627113,0.283953656E-18,0.332729894E-16,0.123099224E-14,0.127101026E-15,0.239673473E-17,0.00000000
400.000000,45.0000000,90.0000000,12.0000000,180.000000,130.000000,125.000000,2.00000000,3.00000000,1198.08997,1199.49207,0.287807396E-14,18.5269718,0.102112784E-18,0.862163487E-17,0.189160753E-14,0.964135358E-15,0.136071029E-16,0.00000000
400.000000,45.0000000,90.0000000,20.0000000,330.000000,130.000000,125.000000,2.00000000,3.00000000,994.792664,996.031189,0.221244646E-14,16.1962471,0.140497687E-18,0.308936375E-16,0.189901293E-14,0.273778916E-15,0.862053885E-17,0.00000000
800.000000,-45.0000000,30.0000000,2.00000000,30.0000000,130.000000,125.000000,2.00000000,3.00000000,1036.71216,1036.71265,0.458632193E-17,6.38316011,0.120908757E-18,0.170002428E-17,0.275574290E-17,0.960719148E-20,0.383391480E-22,0.00000000
800.000000,-45.0000000,30.0000000,12.0000000,180.000000,130.000000,125.000000,2.00000000,3.00000000,996.046082,996.046204,0.112243603E-16,4.92538643,0.108813567E-18,0.786897165E-17,0.324201530E-17,0.454470558E-20,0.149856719E-22,0.00000000
800.000000,-45.0000000,30.0000000,20.0000000,330.000000,130.000000,125.000000,2.00000000,3.00000000,1209.10815,1209.11035,0.133820659E-16,10.0305567,0.754632220E-19,0.229173573E-17,0.109134413E-16,0.100579676E-18,0.846516111E-21,0.00000000
800.000000,0.00000000,60.0000000,2.00000000,30.0000000,130.000000,125.000000,2.00000000,3.00000000,954.044312,954.045166,0.438140737E-17,4.94356918,0.164928957E-18,0.244197717E-17,0.177237488E-17,0.211614429E-20,0.982467724E-23,0.00000000
800.000000,0.00000000,60.0000000,12.0000000,180.000000,130.000000,125.000000,2.00000000,3.00000000,1117.57251,1117.57263,0.107801213E-16,7.58956099,0.104633333E-18,0.346363746E-17,0.717759176E-17,0.340681024E-19,0.191207994E-21,0.00000000
800.000000,0.00000000,60.0000000,20.0000000,330.000000,130.000000,125.000000,2.00000000,3.00000000,1098.98376,1098.98474,0.882609406E-17,7.59149885,0.921097342E-19,0.280178791E-17,0.590574863E-17,0.262642010E-19,0.183824218E-21,0.00000000
800.000000,45.0000000,90.0000000,2.00000000,30.0000000,130.000000,125.000000,2.00000000,3.00000000,896.343201,896.343567,0.698345991E-17,4.15527105,0.182753743E-18,0.572171335E-17,0.107842421E-17,0.567528447E-21,0.184173521E-23,0.00000000
800.000000,45.0000000,90.0000000,12.0000000,180.000000,130.000000,125.000000,2.00000000,3.00000000,1199.49170,1199.49207,0.123014314E-16,9.69513035,0.734523588E-19,0.231310843E-17,0.981765780E-17,0.968452786E-19,0.366967238E-21,0.00000000
800.000000,45.0000000,90.0000000,20.0000000,330.000000,130.000000,125.000000,2.00000000,3.00000000,996.030762,996.031189,0.979960789E-17,5.18795776,0.944951099E-19,0.633565052E-17,0.336524019E-17,0.419429644E-20,0.271050935E-22,0.00000000
